SenderId,ReceiverId,FileCreationDate,FileCreationTime,PayerCompanyName,PayerId,CheckOrEffectiveDate,CheckNumber,CheckAmount,InvoiceNumber,InvoiceDate,ReferenceNumber,VoucherNumber,VoucherDueDate,Description,GrossAmount,DiscountAmount,AdjustedAmount,NetAmount,Comments
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187282,3/15/2017,,,,,233.4,2.33,,231.07,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187283,3/15/2017,,,,,5567.11,55.67,,5511.44,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187284,3/15/2017,,,,,157.7,1.58,,156.12,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187286,3/15/2017,,,,,985.27,9.85,,975.42,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187287,3/15/2017,,,,,532.39,5.32,,527.07,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187288,3/15/2017,,,,,2550.23,25.5,,2524.73,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187289,3/15/2017,,,,,263.18,2.63,,260.55,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187290,3/15/2017,,,,,305.7,3.06,,302.64,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187291,3/15/2017,,,,,2232.28,22.32,,2209.96,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187292,3/15/2017,,,,,314.09,3.14,,310.95,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187293,3/15/2017,,,,,1279.73,12.8,,1266.93,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187294,3/15/2017,,,,,88.43,0.88,,87.55,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187295,3/15/2017,,,,,2276.46,22.76,,2253.7,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187296,3/15/2017,,,,,1641.67,16.42,,1625.25,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187297,3/15/2017,,,,,61.86,0.62,,61.24,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187298,3/15/2017,,,,,72.32,0.72,,71.6,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187285,3/15/2017,,,,,2378.46,23.78,,2354.68,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187311,3/16/2017,,,,,71.23,0.71,,70.52,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187320,3/16/2017,,,,,85.34,0.85,,84.49,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187321,3/16/2017,,,,,171.15,1.71,,169.44,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187322,3/16/2017,,,,,102.5,1.03,,101.47,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187324,3/16/2017,,,,,407.47,4.07,,403.4,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187326,3/16/2017,,,,,15.91,0.16,,15.75,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187327,3/16/2017,,,,,69.39,0.69,,68.7,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187330,3/16/2017,,,,,417.11,4.17,,412.94,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187332,3/16/2017,,,,,457.15,4.57,,452.58,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187333,3/16/2017,,,,,62.16,0.62,,61.54,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187335,3/16/2017,,,,,697.99,6.98,,691.01,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187336,3/16/2017,,,,,31.87,0.32,,31.55,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187337,3/16/2017,,,,,62.99,0.63,,62.36,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187338,3/16/2017,,,,,73.38,0.73,,72.65,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187339,3/16/2017,,,,,464.38,4.64,,459.74,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187342,3/16/2017,,,,,1168.32,11.68,,1156.64,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187344,3/16/2017,,,,,8579.28,85.79,,8493.49,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187345,3/16/2017,,,,,128.87,1.29,,127.58,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187346,3/16/2017,,,,,150.77,1.51,,149.26,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187347,3/16/2017,,,,,1933.02,19.33,,1913.69,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187348,3/16/2017,,,,,2046.14,20.46,,2025.68,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187349,3/16/2017,,,,,710.68,7.11,,703.57,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187350,3/16/2017,,,,,825.64,8.26,,817.38,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187351,3/16/2017,,,,,21.38,0.21,,21.17,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187352,3/16/2017,,,,,1929.6,19.3,,1910.3,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187353,3/16/2017,,,,,6328.24,63.28,,6264.96,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187354,3/16/2017,,,,,824.23,8.24,,815.99,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187355,3/16/2017,,,,,249.64,2.5,,247.14,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187356,3/16/2017,,,,,466.3,4.66,,461.64,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187358,3/16/2017,,,,,93.79,0.94,,92.85,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187359,3/16/2017,,,,,354.5,3.55,,350.95,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187360,3/16/2017,,,,,2123.12,21.23,,2101.89,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187361,3/16/2017,,,,,1364.3,13.64,,1350.66,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187362,3/16/2017,,,,,4697.94,46.98,,4650.96,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187331,3/16/2017,,,,,1876.38,18.76,,1857.62,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187329,3/16/2017,,,,,780.81,7.81,,773,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187323,3/16/2017,,,,,1594.56,15.95,,1578.61,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187343,3/16/2017,,,,,12495.03,124.95,,12370.08,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187230,3/15/2017,,,,,258.05,2.58,,255.47,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187170,3/14/2017,,,,,462.08,4.62,,457.46,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187171,3/14/2017,,,,,143.62,1.44,,142.18,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187189,3/14/2017,,,,,101.1,1.01,,100.09,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187194,3/14/2017,,,,,107.29,1.07,,106.22,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187195,3/14/2017,,,,,980.56,9.81,,970.75,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187196,3/14/2017,,,,,52.5,0.53,,51.97,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187199,3/14/2017,,,,,6165.65,61.66,,6103.99,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187200,3/14/2017,,,,,7467.57,74.68,,7392.89,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187221,3/14/2017,,,,,142.27,1.42,,140.85,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187169,3/14/2017,,,,,4564.26,45.64,,4518.62,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187234,3/15/2017,,,,,127.18,1.27,,125.91,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187235,3/15/2017,,,,,1085.18,10.85,,1074.33,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187236,3/15/2017,,,,,428.4,4.28,,424.12,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187237,3/15/2017,,,,,3102.11,31.02,,3071.09,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187238,3/15/2017,,,,,675.63,6.76,,668.87,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187239,3/15/2017,,,,,114.75,1.15,,113.6,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187240,3/15/2017,,,,,112.28,1.12,,111.16,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187244,3/15/2017,,,,,80.46,0.8,,79.66,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187259,3/15/2017,,,,,1494.54,14.95,,1479.59,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187260,3/15/2017,,,,,194.74,1.95,,192.79,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187261,3/15/2017,,,,,7818.46,78.18,,7740.28,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187262,3/15/2017,,,,,2656.38,26.56,,2629.82,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187312,3/16/2017,,,,,60.13,0.6,,59.53,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187313,3/16/2017,,,,,1345.04,13.45,,1331.59,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187314,3/16/2017,,,,,621.66,6.22,,615.44,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187315,3/16/2017,,,,,103.55,1.04,,102.51,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187316,3/16/2017,,,,,915.66,9.16,,906.5,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187317,3/16/2017,,,,,1039.59,10.4,,1029.19,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187318,3/16/2017,,,,,625.3,6.25,,619.05,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187319,3/16/2017,,,,,536.34,5.36,,530.98,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187325,3/16/2017,,,,,12.36,0.12,,12.24,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187334,3/16/2017,,,,,1036.71,10.37,,1026.34,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187340,3/16/2017,,,,,5032.44,50.32,,4982.12,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187341,3/16/2017,,,,,1858.51,18.59,,1839.92,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,Totals,,,,,,256115.84,2561.19,,253554.65,
